region,avg_infant_mortality,avg_life_expectancy,avg_maternal_mortality
Africa,39.167272727272724,67.32000000000001,292.1296296296297
Australia and Oceania,12.620000000000001,76.355,94.71428571428571
Central America and the Caribbean,11.4625,77.8375,69.23809523809524
Central Asia,17.122222222222224,73.82222222222222,18.11111111111111
East and Southeast Asia,14.190000000000001,76.79,77.64705882352942
Europe,4.408163265306123,80.26530612244898,7
Middle East,12.931249999999999,77.1625,22.9375
North America,6.5166666666666675,79.75,23.666666666666668
South America,14.325,75.325,73.33333333333334
South Asia,27.7125,71.125,138.75
