country,region,indicator variable,value
Somalia,Africa,infant_mortality,81.5
Somalia,Africa,life_expectancy,56.5
Somalia,Africa,maternal_mortality,563
Central African Republic,Africa,infant_mortality,79.3
Central African Republic,Africa,life_expectancy,56.4
Central African Republic,Africa,maternal_mortality,692
Equatorial Guinea,Africa,infant_mortality,76.9
Equatorial Guinea,Africa,life_expectancy,63.9
Equatorial Guinea,Africa,maternal_mortality,174
Sierra Leone,Africa,infant_mortality,70.1
Sierra Leone,Africa,life_expectancy,59.4
Sierra Leone,Africa,maternal_mortality,354
Nigeria,Africa,infant_mortality,65.6
Nigeria,Africa,life_expectancy,62.2
Nigeria,Africa,maternal_mortality,993
Niger,Africa,infant_mortality,63
Niger,Africa,life_expectancy,60.9
Niger,Africa,maternal_mortality,350
Chad,Africa,infant_mortality,61.1
Chad,Africa,life_expectancy,60
Chad,Africa,maternal_mortality,748
South Sudan,Africa,infant_mortality,58.6
South Sudan,Africa,life_expectancy,60.3
South Sudan,Africa,maternal_mortality,692
Mozambique,Africa,infant_mortality,56.7
Mozambique,Africa,life_expectancy,58.3
Mozambique,Africa,maternal_mortality,82
Mali,Africa,infant_mortality,55.8
Mali,Africa,life_expectancy,63.2
Mali,Africa,maternal_mortality,367
"Congo, Democratic Republic of the",Africa,infant_mortality,55.8
"Congo, Democratic Republic of the",Africa,life_expectancy,62.6
"Congo, Democratic Republic of the",Africa,maternal_mortality,427
Liberia,Africa,infant_mortality,55.2
Liberia,Africa,life_expectancy,61.6
Liberia,Africa,maternal_mortality,628
Comoros,Africa,infant_mortality,53.9
Comoros,Africa,life_expectancy,67.8
Comoros,Africa,maternal_mortality,179
Cote d'Ivoire,Africa,infant_mortality,52.3
Cote d'Ivoire,Africa,life_expectancy,63.2
Cote d'Ivoire,Africa,maternal_mortality,359
Lesotho,Africa,infant_mortality,52.2
Lesotho,Africa,life_expectancy,60.2
Lesotho,Africa,maternal_mortality,478
Benin,Africa,infant_mortality,51.6
Benin,Africa,life_expectancy,63
Benin,Africa,maternal_mortality,518
Pakistan,South Asia,infant_mortality,50.3
Pakistan,South Asia,life_expectancy,70.3
Pakistan,South Asia,maternal_mortality,155
Burkina Faso,Africa,infant_mortality,48
Burkina Faso,Africa,life_expectancy,64.2
Burkina Faso,Africa,maternal_mortality,242
Angola,Africa,infant_mortality,46.1
Angola,Africa,life_expectancy,62.9
Angola,Africa,maternal_mortality,183
Guinea,Africa,infant_mortality,45.8
Guinea,Africa,life_expectancy,64.6
Guinea,Africa,maternal_mortality,494
Guinea-Bissau,Africa,infant_mortality,45.1
Guinea-Bissau,Africa,life_expectancy,64.5
Guinea-Bissau,Africa,maternal_mortality,505
Cameroon,Africa,infant_mortality,44.6
Cameroon,Africa,life_expectancy,64.2
Cameroon,Africa,maternal_mortality,258
Djibouti,Africa,infant_mortality,44.3
Djibouti,Africa,life_expectancy,65.9
Djibouti,Africa,maternal_mortality,162
Yemen,Middle East,infant_mortality,42.4
Yemen,Middle East,life_expectancy,68.2
Yemen,Middle East,maternal_mortality,118
Afghanistan,South Asia,infant_mortality,42
Afghanistan,South Asia,life_expectancy,54.4
Afghanistan,South Asia,maternal_mortality,521
Timor-Leste,East and Southeast Asia,infant_mortality,41.9
Timor-Leste,East and Southeast Asia,life_expectancy,70.5
Timor-Leste,East and Southeast Asia,maternal_mortality,192
Sao Tome and Principe,Africa,infant_mortality,41.7
Sao Tome and Principe,Africa,life_expectancy,67.7
Sao Tome and Principe,Africa,maternal_mortality,75
Sudan,Africa,infant_mortality,39.7
Sudan,Africa,life_expectancy,67.8
Sudan,Africa,maternal_mortality,256
Eritrea,Africa,infant_mortality,39
Eritrea,Africa,life_expectancy,67.5
Eritrea,Africa,maternal_mortality,291
Madagascar,Africa,infant_mortality,38.4
Madagascar,Africa,life_expectancy,68.8
Madagascar,Africa,maternal_mortality,445
Eswatini,Africa,infant_mortality,38
Eswatini,Africa,life_expectancy,60.7
Eswatini,Africa,maternal_mortality,118
Burundi,Africa,infant_mortality,35.3
Burundi,Africa,life_expectancy,68.1
Burundi,Africa,maternal_mortality,392
Haiti,Central America and the Caribbean,infant_mortality,35
Haiti,Central America and the Caribbean,life_expectancy,65.6
Haiti,Central America and the Caribbean,maternal_mortality,328
"Gambia, The",Africa,infant_mortality,35
"Gambia, The",Africa,life_expectancy,68.4
"Gambia, The",Africa,maternal_mortality,354
Turkmenistan,Central Asia,infant_mortality,35
Turkmenistan,Central Asia,life_expectancy,72.4
Turkmenistan,Central Asia,maternal_mortality,5
Togo,Africa,infant_mortality,34.5
Togo,Africa,life_expectancy,72.1
Togo,Africa,maternal_mortality,349
Laos,East and Southeast Asia,infant_mortality,34.2
Laos,East and Southeast Asia,life_expectancy,69
Laos,East and Southeast Asia,maternal_mortality,112
Zimbabwe,Africa,infant_mortality,32.8
Zimbabwe,Africa,life_expectancy,67.2
Zimbabwe,Africa,maternal_mortality,358
Papua New Guinea,East and Southeast Asia,infant_mortality,31.3
Papua New Guinea,East and Southeast Asia,life_expectancy,70.1
Papua New Guinea,East and Southeast Asia,maternal_mortality,189
Ethiopia,Africa,infant_mortality,31.3
Ethiopia,Africa,life_expectancy,67.7
Ethiopia,Africa,maternal_mortality,195
Kiribati,Australia and Oceania,infant_mortality,30.8
Kiribati,Australia and Oceania,life_expectancy,68.5
Kiribati,Australia and Oceania,maternal_mortality,80
Burma,East and Southeast Asia,infant_mortality,30.8
Burma,East and Southeast Asia,life_expectancy,70.3
Burma,East and Southeast Asia,maternal_mortality,185
Ghana,Africa,infant_mortality,30.5
Ghana,Africa,life_expectancy,70.1
Ghana,Africa,maternal_mortality,234
India,South Asia,infant_mortality,30.5
India,South Asia,life_expectancy,68.2
India,South Asia,maternal_mortality,80
Senegal,Africa,infant_mortality,30.4
Senegal,Africa,life_expectancy,70.6
Senegal,Africa,maternal_mortality,237
Zambia,Africa,infant_mortality,30.1
Zambia,Africa,life_expectancy,66.9
Zambia,Africa,maternal_mortality,85
Mauritania,Africa,infant_mortality,29.9
Mauritania,Africa,life_expectancy,65.9
Mauritania,Africa,maternal_mortality,381
"Congo, Republic of the",Africa,infant_mortality,29.9
"Congo, Republic of the",Africa,life_expectancy,72.9
"Congo, Republic of the",Africa,maternal_mortality,241
Suriname,South America,infant_mortality,29.3
Suriname,South America,life_expectancy,72.7
Suriname,South America,maternal_mortality,84
Malawi,Africa,infant_mortality,28.9
Malawi,Africa,life_expectancy,73
Malawi,Africa,maternal_mortality,225
Tanzania,Africa,infant_mortality,28.4
Tanzania,Africa,life_expectancy,70.8
Tanzania,Africa,maternal_mortality,276
Botswana,Africa,infant_mortality,27.8
Botswana,Africa,life_expectancy,66.4
Botswana,Africa,maternal_mortality,155
Uganda,Africa,infant_mortality,27.5
Uganda,Africa,life_expectancy,69.7
Uganda,Africa,maternal_mortality,170
Rwanda,Africa,infant_mortality,27.4
Rwanda,Africa,life_expectancy,66.6
Rwanda,Africa,maternal_mortality,229
Cambodia,East and Southeast Asia,infant_mortality,27.2
Cambodia,East and Southeast Asia,life_expectancy,71.4
Cambodia,East and Southeast Asia,maternal_mortality,137
Tuvalu,Australia and Oceania,infant_mortality,27.2
Tuvalu,Australia and Oceania,life_expectancy,69
Tuvalu,Australia and Oceania,maternal_mortality,170
Namibia,Africa,infant_mortality,27.1
Namibia,Africa,life_expectancy,65.9
Namibia,Africa,maternal_mortality,139
Kenya,Africa,infant_mortality,26.8
Kenya,Africa,life_expectancy,70.4
Kenya,Africa,maternal_mortality,379
Gabon,Africa,infant_mortality,26
Gabon,Africa,life_expectancy,70.4
Gabon,Africa,maternal_mortality,233
Kyrgyzstan,Central Asia,infant_mortality,24
Kyrgyzstan,Central Asia,life_expectancy,72.9
Kyrgyzstan,Central Asia,maternal_mortality,42
Maldives,South Asia,infant_mortality,23.7
Maldives,South Asia,life_expectancy,77.4
Maldives,South Asia,maternal_mortality,32
Guatemala,Central America and the Caribbean,infant_mortality,23.4
Guatemala,Central America and the Caribbean,life_expectancy,73.5
Guatemala,Central America and the Caribbean,maternal_mortality,94
Nepal,South Asia,infant_mortality,23.4
Nepal,South Asia,life_expectancy,73
Nepal,South Asia,maternal_mortality,142
Bhutan,South Asia,infant_mortality,23
Bhutan,South Asia,life_expectancy,73.7
Bhutan,South Asia,maternal_mortality,47
Bolivia,South America,infant_mortality,22.1
Bolivia,South America,life_expectancy,72.5
Bolivia,South America,maternal_mortality,146
Bangladesh,South Asia,infant_mortality,22
Bangladesh,South Asia,life_expectancy,75.2
Bangladesh,South Asia,maternal_mortality,115
Cabo Verde,Africa,infant_mortality,21.9
Cabo Verde,Africa,life_expectancy,74.3
Cabo Verde,Africa,maternal_mortality,40
Paraguay,South America,infant_mortality,21.4
Paraguay,South America,life_expectancy,78.8
Paraguay,South America,maternal_mortality,58
Kosovo,Europe,infant_mortality,21
Kosovo,Europe,life_expectancy,73.1
Kosovo,Europe,maternal_mortality,NA
Georgia,Central Asia,infant_mortality,20.9
Georgia,Central Asia,life_expectancy,72.8
Georgia,Central Asia,maternal_mortality,20
Dominican Republic,Central America and the Caribbean,infant_mortality,20.8
Dominican Republic,Central America and the Caribbean,life_expectancy,72.6
Dominican Republic,Central America and the Caribbean,maternal_mortality,124
Guyana,South America,infant_mortality,20.6
Guyana,South America,life_expectancy,72.4
Guyana,South America,maternal_mortality,75
"Micronesia, Federated States of",Australia and Oceania,infant_mortality,20.4
"Micronesia, Federated States of",Australia and Oceania,life_expectancy,75
"Micronesia, Federated States of",Australia and Oceania,maternal_mortality,129
Tajikistan,Central Asia,infant_mortality,20.3
Tajikistan,Central Asia,life_expectancy,71.9
Tajikistan,Central Asia,maternal_mortality,14
Marshall Islands,Australia and Oceania,infant_mortality,20.1
Marshall Islands,Australia and Oceania,life_expectancy,75.2
Marshall Islands,Australia and Oceania,maternal_mortality,155
